Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
3061157000,Duplex,2016-09-08,1745.3,2017-05-16,1
3070069000,Single Family,2016-12-12,1120.2,2017-08-04,1
3070093000,Duplex,2016-10-31,1208.88,2017-08-29,9900
3070205000,Duplex,2016-09-08,320.09,2017-04-19,5105
3070228000,Duplex,2016-06-13,361.65,2017-05-18,12000
3070251000,Duplex,2016-09-08,2003.6,2017-05-16,1
3070332000,Duplex,2016-10-31,2262.39,2017-11-07,5175
3070343000,Duplex,2016-09-08,4864.17,2017-05-15,4000
3070993000,Single Family,2016-07-11,62.36,2017-10-03,1
3080451000,Single Family,2016-06-13,1161.82,2017-10-03,1
3080460000,Duplex,2015-09-14,2182.76,2017-01-10,3200
3080656000,Single Family,2016-12-12,1229.36,2017-10-02,1
3080874000,Single Family,2016-07-11,253.95,2017-10-03,1
3080899000,Duplex,2015-11-16,626.4,2017-10-03,1
3080934000,Duplex,2014-09-15,1651.34,2017-10-03,1
3080977000,Single Family,2016-09-08,2383.62,2017-06-27,8625
3090289000,Duplex,2013-10-14,2446.25,2017-03-09,4200
3090332000,Single Family,2016-01-04,312.34,2017-10-03,1
3090346100,Single Family,2015-09-14,682.85,2017-12-21,3000
3090616100,Single Family,2015-11-16,1032.04,2017-10-03,1
3090836000,Duplex,2015-09-14,210.11,2017-10-03,1
3091039000,Duplex,2015-11-16,1249.28,2017-10-03,1
3100008100,Duplex,2016-01-04,2967.06,2017-10-03,1
3100116000,Single Family,2013-12-02,3438.3,2017-10-03,1
3100129000,Duplex,2014-11-11,1211.46,2017-10-03,1
3100206000,Single Family,2010-07-26,1091.42,2017-10-03,1
3100218000,Single Family,2016-06-13,1577.41,2017-06-13,2500
3100232100,Duplex,2015-11-16,1987.55,2017-10-03,1
3100323000,Single Family,2016-06-13,893.86,2017-10-03,1
3100419000,Single Family,2016-06-13,2479.31,2017-08-24,3150
3100424000,Duplex,2016-10-31,5235.44,2017-09-25,6300
3101332100,Single Family,2010-07-26,3102.41,2017-10-03,1
3101628000,Single Family,2015-06-08,1455.25,2017-10-03,1
3101632000,Duplex,2016-09-08,81.55,2017-09-07,1
3101638000,Single Family,2015-11-16,729.11,2017-10-03,1
3101641000,Single Family,2015-07-13,200.27,2017-10-03,1
3102607000,Duplex,2016-09-08,681.79,2017-08-01,2500
3102716000,Duplex,2016-12-12,4638.54,2017-08-23,6075
3109939000,Duplex,2013-10-14,1157.68,2017-06-23,1
3109952000,Single Family,2016-09-08,1078.58,2017-05-03,2500
3110804100,Single Family,2016-12-12,475.45,2017-08-14,3000
3111129000,Single Family,2012-07-09,9146.93,2017-03-16,1
3111225000,Duplex,2016-09-08,2686.28,2017-10-11,6675
3111313000,Duplex,2016-12-12,166.53,2017-11-13,5475
3111328000,Duplex,2015-11-16,2972.47,2017-03-16,3000
3111703000,Duplex,2016-06-13,259.4,2017-06-12,1
3120109100,Duplex,2016-01-04,2321.31,2017-05-03,2500
3120114110,Duplex,2016-10-31,1952.51,2017-12-19,5300
3120169000,Duplex,2016-12-12,3540.25,2017-07-19,5400
3120170000,Duplex,2016-07-11,1764.96,2017-11-21,2500
3121010000,Multi-Family,2016-10-31,1576.89,2017-08-04,3500
3121341000,Duplex,2015-01-05,5766.18,2017-01-31,3100
3123306100,Single Family,2013-12-02,575.87,2017-05-16,3000
3130307000,Single Family,2016-09-08,2990.72,2017-10-10,1000
3130311000,Duplex,2016-09-08,1948.75,2017-05-10,7000
3132212000,Single Family,2016-06-13,2165.76,2017-03-28,9751
3140951000,Duplex,2016-07-11,1529.73,2017-01-25,6375
3209965000,Duplex,2016-12-12,5430.08,2017-09-07,12000
3210006000,Single Family,2015-07-13,2698.2,2017-04-19,11250
3211246000,Duplex,2015-01-05,2847.69,2017-09-12,10700
3211273000,Single Family,2015-11-16,992.29,2017-02-14,3000
3211543000,Single Family,2016-12-12,2474.82,2017-08-07,6825
3211563100,Single Family,2016-10-31,572.83,2017-09-25,11300
3211635000,Single Family,2016-09-08,112.36,2017-04-12,4000
3220493000,Single Family,2016-07-11,849.48,2017-01-25,15000
3221104000,Duplex,2014-11-11,1003.45,2017-08-11,1
3240864000,Duplex,2012-12-17,1819.99,2017-03-09,5625
3240870110,Single Family,2016-07-11,525.05,2017-02-23,3000
3250086000,Single Family,2015-07-13,509.21,2017-05-16,1
3250120000,Single Family,2016-10-31,444.41,2017-05-02,3400
3250309100,Single Family,2016-07-11,565.05,2017-08-15,2500
3250331100,Single Family,2014-09-15,1168.82,2017-10-03,1
3250332000,Duplex,2015-11-16,542.42,2017-06-12,1
3250503000,Single Family,2015-06-08,302.47,2017-06-12,1
3250618000,Duplex,2015-11-16,1808.84,2017-10-03,1
3251059000,Single Family,2016-06-13,5200.64,2017-03-22,3100
3260897100,Single Family,2012-07-09,9684.29,2017-09-25,15000
3261124000,Single Family,2015-09-14,237.78,2017-10-03,1
3261239000,Duplex,2017-07-25,109.12,2017-12-07,7000
3261412100,Single Family,2015-11-16,554.98,2017-10-03,1
3261416000,Single Family,2012-10-08,3616.85,2017-10-03,1
3261510000,Duplex,2016-06-13,2431.69,2017-08-21,10000
3261532000,Duplex,2016-09-08,113.32,2017-03-09,7000
3261534000,Duplex,2017-06-07,38.84,2017-10-26,4500
3261536000,Single Family,2016-09-08,726.08,2017-11-15,2500
3261573000,Single Family,2016-09-08,2152.15,2017-06-13,1000
3270326000,Duplex,2015-09-14,1252.77,2017-10-03,1
3270714000,Duplex,2015-06-08,1442.71,2017-10-03,1
