"Key No. ","Property Type ","Acquired","Total Mgt. Expenses","Closed","Sale Price"
2871111000,"Single Family","2010-07-26",474.59,"2014-09-30",1
2871917000,"Single Family","2013-08-16",5238.85,"2014-03-07",4800
2880814000,"Single Family","2012-12-17",7827.73,"2014-04-04",40000
2890626000,"Duplex","2012-10-08",5937.57,"2014-07-07",14500
2940053000,"Single Family","2013-10-14",2179.69,"2014-09-08",58000
3050881000,"Single Family","2013-12-02",7839.05,"2014-09-05",1
3060798000,"Single Family","2012-07-09",3750.29,"2014-02-13",11000
3070078000,"Duplex","2013-12-02",1002909.84,"2014-11-14",13200
3070310000,"Duplex","2012-10-08",762.11,"2014-01-14",6750
3071040000,"Duplex","2013-08-16",895.66,"2014-11-04",7100
3080024000,"Duplex","2013-08-16",888.55,"2014-10-03",2700
3080162000,"Single Family","2013-10-14",3086.53,"2014-10-09",11250
3080181000,"Single Family","2013-12-02",940.11,"2014-09-30",1
3080376000,"Duplex","2013-12-02",608.34,"2014-09-30",1
3080389000,"Duplex","2012-01-30",5717.55,"2014-09-30",1
3080396000,"Duplex","2012-12-17",3485.79,"2014-09-30",1
3080427000,"Duplex","2013-08-16",1474.07,"2014-05-21",3500
3080713000,"Single Family","2013-08-16",551.17,"2014-07-11",8250
3080768000,"Single Family","2013-10-14",2366.93,"2014-05-14",8000
3080885000,"Single Family","2012-01-30",1682.15,"2014-09-30",1
3080931000,"Single Family","2010-07-26",613.46,"2014-09-30",1
3080943000,"Duplex","2014-06-02",1386,"2014-12-04",11250
3080949000,"Duplex","2012-10-08",5645.88,"2014-07-30",4600
3080971000,"Single Family","2012-10-08",3039.58,"2014-02-21",18400
3080992000,"Duplex","2012-07-09",1102.2,"2014-09-30",1
3081137000,"Single Family","2013-12-02",1136.71,"2014-10-29",8000
3090682000,"Auto Repair Shop","2011-02-14",1084.5,"2014-11-18",10000
3090846000,"Duplex","2011-11-14",547.47,"2014-09-30",1
3100158000,"Single Family","2012-12-17",1386.63,"2014-09-30",1
3100163000,"Single Family","2012-10-08",1536.93,"2014-02-07",1000
3100868000,"Single Family","2013-08-16",1744.17,"2014-09-18",3000
3101020000,"Single Family","2013-12-02",5262.28,"2014-12-10",4200
3102312000,"Duplex","2014-06-02",1443.07,"2014-12-19",3675
3111403000,"Single Family","2009-07-20",6948.64,"2014-11-24",2625
3111883131,"Single Family","2013-08-16",5929.78,"2014-10-07",3600
3112068100,"Duplex","2012-10-08",2916.6,"2014-09-17",1
3112088100,"Duplex","2012-10-08",2230.31,"2014-09-17",1
3120175000,"Duplex","2013-10-14",874.72,"2014-10-03",4275
3120901000,"Single Family","2012-10-08",1842.07,"2014-09-17",1
3120919000,"Single Family","2011-09-16",801.26,"2014-09-17",1
3120920000,"Duplex","2011-11-14",3563.6,"2014-09-17",1
3121016111,"Single Family","2013-08-16",623.32,"2014-08-20",1000
3121218000,"Single Family","2013-10-14",109.75,"2014-09-17",1
3121657000,"Single Family","2013-10-14",8262.95,"2014-08-01",5000
3121685000,"Single Family","2013-08-16",1689.76,"2014-09-29",1000
3122226110,"Single Family - 2","2013-10-14",1316.58,"2014-09-17",1
3123244100,"Single Family","2013-10-14",617.26,"2014-09-17",1
