"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price"
2440968000,"Single Family","2014-07-14",811.94,"2015-03-13",7500
2450804000,"Single Family","2015-07-13",828.44,"2015-11-16",1000
2452010000,"Duplex","2013-12-02",1137.45,"2015-09-10",2850
2459991000,"Single Family","2013-10-14",4532.6,"2015-03-09",3000
2460301000,"Duplex","2013-12-02",3512.6,"2015-09-29",15750
2470412000,"Single Family","2014-06-02",1320.97,"2015-11-09",5000
2470618000,"Single Family","2015-01-05",1367.83,"2015-10-15",5000
2480059000,"Single Family","2013-10-14",959.95,"2015-01-09",5000
2480363000,"Single Family","2012-07-09",3002.81,"2015-01-09",2625
2480402000,"Single Family","2014-07-14",234.27,"2015-06-02",6400
2480513000,"Single Family","2014-11-11",1975.18,"2015-07-27",6450
2480546000,"Single Family","2015-01-05",574.73,"2015-07-06",5000
2490755000,"Single Family","2014-11-11",1186.34,"2015-05-08",13200
2490767000,"Single Family","2015-01-05",923.6,"2015-08-31",8450
2500119000,"Single Family","2015-01-05",1847.07,"2015-10-20",30000
2640319000,"Single Family","2013-12-02",1768.62,"2015-12-01",18750
2660550000,"Single Family","2014-07-14",339,"2015-04-08",28500
2670333000,"Single Family","2014-11-11",2047.24,"2015-10-14",5000
2670680100,"Commercial Mixed-Use","2013-08-16",1223.52,"2015-07-08",50000
2670686100,"Day Care Center","2009-07-20",9612.64,"2015-06-26",20000
2670759000,"Single Family","2014-07-14",302.05,"2015-05-21",1
2680017000,"Duplex","2014-06-02",1799.68,"2015-04-23",5000
2680071000,"Duplex","2014-11-11",3446.36,"2015-10-15",5000
2681007000,"Single Family","2014-06-02",687.25,"2015-06-26",15000
2681612000,"Single Family","2015-01-05",24812.66,"2015-09-14",1000
2690113000,"Single Family","2013-12-02",3013.17,"2015-03-06",3000
2700214000,"Day Care Center","2011-11-14",906.57,"2015-10-06",18000
2700229000,"Single Family","2014-09-15",755.79,"2015-04-10",2250
2700254000,"Single Family","2012-10-08",1137.48,"2015-03-30",3750
2700867000,"Duplex","2015-06-08",1765.1,"2015-11-09",15500
2701146000,"Single Family","2015-01-05",250.18,"2015-09-16",7500
2701150000,"Single Family","2010-07-26",324.99,"2015-03-13",3000
2701181000,"Duplex","2014-06-02",1470.47,"2015-06-08",2500
2701772000,"Single Family","2015-07-13",992.41,"2015-11-16",1000
2701783000,"Single Family","2012-10-08",827.67,"2015-10-15",2500
2701832000,"Single Family","2013-12-02",4997.89,"2015-03-30",5175
2701844000,"Single Family","2012-07-09",5042.34,"2015-06-03",5500
2710747000,"Single Family","2013-12-02",813.21,"2015-04-23",5000
2712534000,"Duplex","2013-12-02",2275.05,"2015-11-04",3375
2712597000,"Single Family","2014-06-02",7646.37,"2015-06-12",5025
2720314000,"Duplex","2015-01-05",861.97,"2015-11-05",2500
2720522000,"Duplex","2014-11-11",4103.44,"2015-04-30",7500
2720550000,"Single Family","2014-06-02",728.7,"2015-01-15",11250
2720567000,"Duplex","2013-08-16",6300.82,"2015-04-06",1
2720720000,"Single Family","2014-09-15",1560.18,"2015-10-14",5000
2721001000,"Duplex","2013-10-14",4062.65,"2015-12-08",5200
2722415000,"Duplex","2013-10-14",1499.75,"2015-01-23",4500
2722416000,"Duplex - 2","2014-07-14",1009188.25,"2015-09-14",1000
2722759000,"Single Family","2015-06-08",828.8,"2015-12-15",5000
2722783000,"Single Family","2014-09-15",837.44,"2015-04-01",5200
2722828000,"Single Family","2013-12-02",2830.76,"2015-02-19",3700
2730122000,"Single Family","2015-01-05",1105.12,"2015-11-12",11250
2730128000,"Duplex","2013-12-02",4603.28,"2015-03-16",3007
2730514000,"Single Family","2015-06-08",813.93,"2015-11-24",7875
2731214000,"Single Family","2015-06-08",616.86,"2015-12-04",3000
2731319000,"Duplex","2013-12-02",6283.57,"2015-07-01",1000
2731324000,"Single Family","2013-08-16",1392.2,"2015-02-17",3675
2731606000,"Duplex","2014-11-11",6698.83,"2015-04-30",3750
2731619000,"Duplex","2014-06-02",868.33,"2015-02-04",5000
2820313000,"Duplex","2015-01-05",686.35,"2015-07-27",3360
2820613000,"Duplex","2014-11-11",174.19,"2015-04-28",5425
2821332000,"Duplex","2014-06-02",2010.49,"2015-03-13",5000
2821614000,"Single Family","2014-11-11",1089.57,"2015-05-19",3000
2821651110,"Single Family","2015-01-05",87.79,"2015-10-21",3350
2822524000,"Duplex","2014-07-14",879.56,"2015-07-16",5300
2830118110,"Duplex","2013-10-14",912.52,"2015-02-19",3400
2830168000,"Single Family","2013-12-02",680.78,"2015-04-24",1
2830209000,"Single Family","2013-10-14",1397.61,"2015-09-18",3750
2830221000,"Single Family","2014-09-15",4644.32,"2015-05-19",4650
2830316000,"Single Family","2013-10-14",281.06,"2015-10-23",15000
2830551100,"Single Family","2015-06-08",514.26,"2015-11-17",3100
2830936000,"Single Family","2013-10-14",364.43,"2015-09-04",2590
2831248000,"Duplex","2012-07-09",6911.76,"2015-08-20",2800
2831275000,"Duplex","2015-01-05",2459.46,"2015-08-05",2500
2831315100,"Duplex","2013-08-16",993.68,"2015-04-24",3000
2840102000,"Duplex","2015-07-13",713.88,"2015-12-17",2900
2840501000,"Duplex","2013-08-16",9146.97,"2015-09-25",5625
2840704000,"Single Family","2014-06-02",1962.31,"2015-02-03",9300
2840803000,"Multi-Family","2014-07-14",1301.59,"2015-04-06",8175
2840805000,"Single Family","2012-10-08",4846.89,"2015-07-28",10500
2841811000,"Duplex","2014-06-02",2491.6,"2015-05-14",4200
2841820000,"Duplex","2014-11-11",5417.34,"2015-05-05",4500
2842002000,"Single Family","2013-12-02",2983.37,"2015-01-15",3000
2842142000,"Single Family","2010-07-26",8787.95,"2015-08-19",9300
2842158000,"Single Family","2014-11-11",40.49,"2015-07-23",1000
2842201000,"Com/Res","2010-07-26",2971.14,"2015-11-04",3000
2850236000,"Duplex","2014-07-14",1337.33,"2015-04-22",4050
2850426000,"Single Family","2014-09-15",1048.75,"2015-08-26",3360
2850611000,"Duplex","2012-12-17",1082.14,"2015-12-30",1
2850702000,"Duplex","2015-06-08",209.53,"2015-12-30",1
2850739000,"Single Family","2013-12-02",889.86,"2015-08-12",6750
2850780000,"Single Family","2010-03-01",1174.12,"2015-12-30",1
2850829000,"Single Family","2013-10-14",2636.28,"2015-12-30",1
2850874100,"Duplex","2015-01-05",2548.94,"2015-08-27",2500
2850918000,"Duplex","2014-06-02",499.48,"2015-12-30",1
2851069000,"Single Family","2014-06-02",241.54,"2015-03-27",4500
