Property Type,Acquired,Count,Total Mgt. Expenses,Closed,Sale Price
Single Family,10/8/2012,1,1823.89,9/12/2014,1000.02
Duplex,7/9/2012,1,6275.6,9/12/2014,4000
Multi-Family,8/16/2013,1,1303.91,9/12/2014,21000
Single Family,7/26/2010,1,4530.39,9/12/2014,2500
Single Family,10/14/2013,1,1278.95,9/12/2014,5000
Single Family,12/2/2013,1,3236.47,9/12/2014,5000
Single Family,10/14/2013,1,140.21,9/11/2014,5250
Duplex,10/14/2013,1,3350.88,9/10/2014,11025
Duplex,8/16/2013,1,2183.2,9/10/2014,1000
Single Family,10/14/2013,1,183.93,9/9/2014,10000
Duplex,10/14/2013,1,3361.89,9/8/2014,25000
Single Family,10/14/2013,1,2179.69,9/8/2014,58000
Duplex,10/14/2013,1,1952.91,9/5/2014,3000
Single Family,12/2/2013,1,7839.05,9/5/2014,1
Single Family,10/14/2013,1,419.91,9/5/2014,33000
Single Family,12/2/2013,1,2360.08,9/5/2014,1000
Duplex,10/14/2013,1,1867.85,9/5/2014,12000
Single Family,12/2/2013,1,1448.11,9/5/2014,1000
Condominium,12/2/2013,1,3699.66,9/5/2014,10277.33
Single Family,7/20/2009,1,3357.64,8/29/2014,5000
Single Family,10/14/2013,1,2010.54,8/29/2014,5000
Single Family,10/14/2013,1,2643.77,8/29/2014,5000
Single Family,12/2/2013,1,123.21,8/29/2014,5000
Single Family,10/14/2013,1,1686.74,8/29/2014,5000
Single Family,10/14/2013,1,2188.87,8/26/2014,1000
Single Family,9/16/2011,1,5492.44,8/25/2014,5000
Single Family,10/14/2013,1,896.41,8/25/2014,4350
Duplex,12/2/2013,1,618.66,8/22/2014,11000
Single Family,10/8/2012,1,3657.79,8/22/2014,2225
Single Family,10/14/2013,1,712.28,8/22/2014,10040.31
Restaurant,7/9/2012,1,1280.57,8/20/2014,10000
Single Family,8/16/2013,1,623.32,8/20/2014,1000
Single Family,12/2/2013,1,77.82,8/18/2014,7500
Single Family,1/30/2012,1,3677.6,8/14/2014,42500
Single Family,12/2/2013,1,350.28,8/14/2014,11000
Single Family,10/14/2013,1,195.29,8/14/2014,5000
Single Family,10/14/2013,1,226.47,8/13/2014,1000
Single Family,12/2/2013,1,266.94,8/13/2014,1000
Single Family,10/14/2013,1,2213.02,8/13/2014,1000
Single Family,12/2/2013,1,79.42,8/13/2014,1000
Single Family,12/2/2013,1,1051.65,8/13/2014,16875
Duplex,10/14/2013,1,1871.32,8/11/2014,5000
Duplex,9/16/2011,1,5317.94,8/11/2014,1000
Single Family,7/20/2009,1,923.3,8/8/2014,1000
Condominium,8/16/2013,1,2363.51,8/8/2014,1000
Condominium,12/2/2013,1,3833.69,8/8/2014,1000
Auto Repair Shop,7/9/2012,1,2156.47,8/5/2014,1
Single Family,8/16/2013,1,496.16,8/5/2014,4950
Duplex,8/16/2013,1,2570.36,8/4/2014,10800
Single Family,10/14/2013,1,8262.95,8/1/2014,5000
Duplex,10/14/2013,1,9064.45,7/31/2014,23000
Condominium,7/9/2012,1,10214.17,7/31/2014,1
Multi-Family,8/16/2013,1,9100.89,7/31/2014,2625
Single Family,10/14/2013,1,3402.57,7/31/2014,12000
Single Family,10/14/2013,1,1372.39,7/30/2014,2625
Duplex,10/8/2012,1,5645.88,7/30/2014,4600
Duplex,8/16/2013,1,3782.15,7/28/2014,1000
Single Family,12/2/2013,1,205.29,7/25/2014,1000
Single Family,6/29/2011,1,1590.79,7/25/2014,1000
Single Family,12/2/2013,1,99.9,7/24/2014,1000
Single Family,10/14/2013,1,120.43,7/24/2014,1000
Single Family,10/14/2013,1,210.17,7/22/2014,1
Single Family,12/2/2013,1,707.22,7/22/2014,1
Duplex,10/14/2013,1,490.25,7/18/2014,11000
Duplex,8/16/2013,1,1071.88,7/18/2014,3750
Single Family,10/14/2013,1,1870.42,7/14/2014,15750
Single Family,10/14/2013,1,281.55,7/11/2014,11500
Single Family,10/8/2012,1,622.02,7/11/2014,1000
Single Family,8/16/2013,1,551.17,7/11/2014,8250
Duplex & Single Family,10/14/2013,1,3279.35,7/10/2014,2625
Condominium,10/14/2013,1,1410.22,7/10/2014,8649.03
Single Family,10/8/2012,1,1551.08,7/8/2014,3500
Single Family,10/14/2013,1,140.95,7/8/2014,8700
Duplex,10/8/2012,1,5937.57,7/7/2014,14500
Single Family,10/14/2013,1,1640.32,7/2/2014,7000
Duplex,1/30/2012,1,3030.11,7/1/2014,12100
Duplex,8/16/2013,1,1816.44,6/30/2014,2650
Single Family,10/14/2013,1,1722.51,6/27/2014,13000
Single Family,10/14/2013,1,5569.38,6/27/2014,5000
Single Family,8/16/2013,1,589.56,6/27/2014,12000
Single Family,10/14/2013,1,679.64,6/26/2014,9000
Single Family,10/14/2013,1,833.99,6/25/2014,9814.04
Single Family,8/16/2013,1,988.87,6/20/2014,6000
Condominium,12/17/2012,1,18697.54,6/19/2014,10500
Single Family,7/9/2012,1,4911.77,6/18/2014,3900
Duplex,11/14/2011,1,2626.57,6/13/2014,3750
Duplex,11/14/2011,1,915.73,6/13/2014,3750
Duplex,6/29/2011,1,1053.19,6/13/2014,3975
Single Family,8/16/2013,1,139.22,6/13/2014,3300
Condominium,8/16/2013,1,2389.35,6/13/2014,32000
Duplex,7/26/2010,1,11138.32,6/12/2014,5000
Single Family,10/14/2013,1,981.57,6/12/2014,1000
Single Family,10/8/2012,1,1517.19,6/11/2014,3300
Single Family,10/14/2013,1,1210.26,6/9/2014,1007.99
Single Family,8/16/2013,1,407.77,6/6/2014,9000
Duplex,7/26/2010,1,3841.64,6/6/2014,8000
Single Family,6/29/2011,1,2083.24,6/6/2014,5625
Single Family,12/17/2012,1,797.98,6/6/2014,5000
Single Family,7/9/2012,1,1388.66,6/6/2014,5000
Single Family,7/20/2009,1,397.46,6/6/2014,5000
Single Family,7/9/2012,1,4364.43,6/6/2014,9075
Single Family,7/9/2012,1,2182.72,6/6/2014,5000
Single Family,7/26/2010,1,1762.9,6/3/2014,1000
Duplex,10/14/2013,1,2458.14,5/28/2014,15000
Duplex & Single Family,8/16/2013,1,1221.3,5/27/2014,13500
Single Family,10/14/2013,1,273.67,5/23/2014,3314.04
Single Family,8/16/2013,1,692.98,5/23/2014,5280
Single Family,12/2/2013,1,9423.02,5/22/2014,12500
Single Family,11/14/2011,1,3939.29,5/22/2014,1000
Duplex,10/14/2013,1,374,5/21/2014,6400
Duplex,8/16/2013,1,1474.07,5/21/2014,3500
Single Family,8/16/2013,1,5951.18,5/21/2014,1019.33
Single Family,8/16/2013,1,1503.89,5/21/2014,1026.45
Single Family,7/26/2010,1,265.38,5/21/2014,1000
Duplex,10/14/2013,1,637.2,5/21/2014,23500
Multi-Family,10/8/2012,1,1697.51,5/20/2014,1000
Single Family,12/17/2012,1,1405.98,5/16/2014,51000
Duplex,6/29/2011,1,1598.02,5/14/2014,1000
Single Family,10/14/2013,1,2366.93,5/14/2014,8000
Condominium,10/14/2013,1,1658.99,5/14/2014,1120.38
Condominium,12/2/2013,1,2436.94,5/14/2014,1120.38
Single Family,10/14/2013,1,749.32,5/12/2014,4800
Single Family,7/26/2010,1,679.1,5/9/2014,3000
Single Family,12/17/2012,1,3884.31,5/9/2014,8120
Single Family,8/16/2013,1,122.19,5/9/2014,5700
Single Family,7/9/2012,1,3920.17,5/9/2014,20000
Single Family - 2,8/16/2013,1,1739.95,5/9/2014,13000
Single Family,11/14/2011,1,804.04,5/9/2014,2900
Single Family,7/9/2012,1,3995.37,5/8/2014,18000
Single Family,12/17/2012,1,2088.25,5/7/2014,3500
Single Family,8/16/2013,1,1454.7,5/7/2014,3500
Duplex,12/17/2012,1,898.17,5/2/2014,1000
Duplex,8/16/2013,1,217.54,5/2/2014,16000
Single Family,8/16/2013,1,544.29,5/2/2014,15750
Single Family,12/17/2012,1,1150.71,4/28/2014,6500
Single Family,10/8/2012,1,736.41,4/25/2014,5012.54
Single Family,11/14/2011,1,2114.1,4/25/2014,5000
Single Family,12/17/2012,1,1416.23,4/25/2014,5012.64
Single Family,7/9/2012,1,1246.36,4/25/2014,5000
Single Family,10/8/2012,1,2019.48,4/25/2014,5000
Single Family,7/9/2012,1,8295.83,4/25/2014,4050
Single Family,10/14/2013,1,1898.49,4/24/2014,18000
Duplex,8/16/2013,1,59,4/24/2014,1000
Duplex,10/8/2012,1,3123.69,4/24/2014,1000
Duplex,12/17/2012,1,1304.18,4/22/2014,1000
Duplex,10/8/2012,1,1865.51,4/22/2014,1000
Duplex,8/16/2013,1,320.86,4/22/2014,1000
Single Family,7/9/2012,1,1092.5,4/22/2014,5250
Single Family,1/30/2012,1,2034.67,4/17/2014,8250
Single Family,8/16/2013,1,268.46,4/16/2014,1
Single Family,8/16/2013,1,245.68,4/16/2014,1
Duplex,8/16/2013,1,2438.33,4/14/2014,4900
Single Family,8/16/2013,1,137.89,4/14/2014,8914.45
Duplex,10/8/2012,1,6738.89,4/11/2014,4000
Single Family,8/16/2013,1,4372.26,4/11/2014,9000
Duplex,8/16/2013,1,800.57,4/11/2014,3000
Single Family,12/17/2012,1,15689.07,4/10/2014,1000
Duplex,8/16/2013,1,475.3,4/10/2014,1000
Duplex,1/30/2012,1,9996.74,4/9/2014,5000
Single Family,12/17/2012,1,7827.73,4/4/2014,40000
Single Family,8/16/2013,1,243.33,4/4/2014,8000
Single Family,12/17/2012,1,1110.7,4/4/2014,9500
Duplex,8/16/2013,1,203.65,4/2/2014,13500
Single Family,7/9/2012,1,7046.53,4/1/2014,15000
Condominium,10/8/2012,1,5256.76,4/1/2014,8100
Condominium,7/9/2012,1,7380.12,3/31/2014,1005.48
Duplex,10/8/2012,1,6385.93,3/28/2014,3750
Single Family,7/20/2009,1,5349.05,3/28/2014,3400
Single Family,6/29/2011,1,2736.73,3/28/2014,6150
Single Family,1/30/2012,1,4095.09,3/27/2014,3100
Single Family,7/26/2010,1,675.63,3/26/2014,2300
Duplex,10/8/2012,1,1550.52,3/25/2014,7000
Duplex,7/9/2012,1,1996.71,3/24/2014,3000
Single Family,8/16/2013,1,2597.63,3/21/2014,4500
Duplex,11/14/2011,1,1438.73,3/21/2014,5000
Single Family,8/16/2013,1,265.1,3/21/2014,1000
Duplex,8/16/2013,1,6331.47,3/20/2014,18000
Single Family,12/17/2012,1,5781.8,3/20/2014,9375
Duplex,10/8/2012,1,5681.11,3/17/2014,5000
Duplex,10/8/2012,1,5191.2,3/14/2014,27000
Single Family,8/16/2013,1,1626.1,3/14/2014,7000
Single Family,8/16/2013,1,410.55,3/14/2014,8000
Duplex,12/17/2012,1,3089.42,3/12/2014,26000
Single Family,12/17/2012,1,1425.82,3/11/2014,7875
Single Family,8/16/2013,1,798.85,3/10/2014,15000
Single Family,8/16/2013,1,212.67,3/10/2014,6400
Single Family,8/16/2013,1,5238.85,3/7/2014,4800
Single Family,7/9/2012,1,877.27,3/7/2014,7800
Rooming House,1/30/2012,1,1738.94,3/5/2014,3500
Duplex,10/8/2012,1,1259.77,3/4/2014,46565
Single Family,9/16/2011,1,1969.08,2/27/2014,6900
Single Family,12/17/2012,1,1159.82,2/27/2014,5250
Single Family,8/16/2013,1,631.25,2/27/2014,4000
Single Family,10/8/2012,1,2939.22,2/25/2014,10000
Duplex,10/8/2012,1,1909.54,2/25/2014,7500
Condominium,7/26/2010,1,4276.6,2/25/2014,8529.29
Single Family,10/8/2012,1,2000.05,2/24/2014,2600
Single Family,10/8/2012,1,1854.15,2/24/2014,7000
Single Family,10/14/2013,1,1244.98,2/21/2014,25300
Single Family,10/8/2012,1,3039.58,2/21/2014,18400
Duplex,7/9/2012,1,1345.46,2/20/2014,1000
Single Family,7/9/2012,1,2534.76,2/20/2014,1000
Single Family,9/16/2011,1,1418.25,2/20/2014,4500
Duplex,10/14/2013,1,95.52,2/17/2014,1000
Single Family,10/8/2012,1,2032.06,2/17/2014,2584
Condominium,8/16/2013,1,2010.87,2/17/2014,7129.14
Single Family,8/16/2013,1,2702.5,2/14/2014,33000
Single Family,12/17/2012,1,1664.43,2/14/2014,9750
Single Family,8/16/2013,1,68.82,2/13/2014,10000
Single Family,12/17/2012,1,611.79,2/13/2014,5000
Single Family,7/9/2012,1,3750.29,2/13/2014,11000
Single Family,7/9/2012,1,834.06,2/13/2014,5000
Single Family,9/16/2011,1,3074.75,2/13/2014,11000
Single Family,7/9/2012,1,1304.06,2/13/2014,5000
Single Family,8/16/2013,1,202.78,2/13/2014,12000
Single Family,10/8/2012,1,1559.06,2/13/2014,5000
Single Family,1/30/2012,1,2037.43,2/13/2014,12000
Single Family,7/9/2012,1,454.1,2/13/2014,5000
Single Family,10/8/2012,1,1536.93,2/7/2014,1000
Single Family,7/9/2012,1,545.5,2/7/2014,5000
Single Family,8/16/2013,1,354.8,2/6/2014,18300
Duplex,10/8/2012,1,3327.28,2/6/2014,10000
Duplex,11/14/2011,1,16296.87,2/6/2014,2870
Single Family,8/16/2013,1,672.87,2/4/2014,5000
Single Family,8/16/2013,1,253.3,2/4/2014,4501
Duplex,12/17/2012,1,1217.81,2/4/2014,1000
Single Family,8/16/2013,1,228.12,2/4/2014,1000
Single Family,7/9/2012,1,1379.73,2/4/2014,1000
Single Family,12/17/2012,1,1192.88,1/31/2014,14400
Single Family,8/16/2013,1,2708.17,1/31/2014,12000
Duplex & Single Family,1/30/2012,1,3858.9,1/29/2014,2000
Single Family,10/8/2012,1,514.65,1/28/2014,42000
Single Family,11/14/2011,1,1339.83,1/28/2014,13400
Duplex,10/8/2012,1,1154.58,1/28/2014,1000
Duplex,10/8/2012,1,603.45,1/28/2014,1000
Single Family,8/16/2013,1,2432.63,1/28/2014,1000
Single Family,11/14/2011,1,6066.1,1/24/2014,4000
Single Family,12/17/2012,1,630.61,1/23/2014,6375
Single Family,8/16/2013,1,691.04,1/22/2014,3900
Condominium,10/8/2012,1,6869.52,1/21/2014,7129.13
Duplex,10/8/2012,1,762.11,1/14/2014,6750
Single Family,2/14/2011,1,1148.09,1/14/2014,7500
Duplex & Single Family,12/17/2012,1,5713.61,1/3/2014,3500
Duplex,12/17/2012,1,2359.5,1/3/2014,8900
Duplex,8/16/2013,1,316.22,1/2/2014,6000
Single Family,8/16/2013,1,1187.52,1/2/2015,1000
Single Family,6/2/2014,1,53.88,1/2/2015,1000
Single Family,12/17/2012,1,7064.53,1/5/2015,7000
Multi-Family,10/14/2013,1,181.92,1/6/2015,45000
Duplex,7/14/2014,1,270.03,1/6/2015,7000
Duplex,6/2/2014,1,2984.59,1/7/2015,6107
Condominium,6/2/2014,1,1143.58,1/8/2015,10600
Duplex,10/14/2013,1,1100.38,1/9/2015,14000
Single Family,7/26/2010,1,25042.23,1/9/2015,4550
Single Family,7/9/2012,1,3002.81,1/9/2015,2625
Single Family,10/14/2013,1,959.9511,1/9/2015,5000
Single Family,6/2/2014,1,1151.25,1/9/2015,8000
Single Family,2/14/2011,1,4534.624,1/9/2015,5000
Single Family,12/2/2013,1,318.12,1/9/2015,5000
Single Family,10/14/2013,1,4298.64,1/9/2015,12000
Single Family,8/16/2013,1,7387.53,1/9/2015,5000
Single Family,12/2/2013,1,260.9,1/9/2015,5000
Duplex,7/14/2014,1,1037.89,1/12/2015,9750
Duplex,8/16/2013,1,2195.09,1/13/2015,9000
Duplex,6/2/2014,1,4299.27,1/13/2015,5000
Single Family,10/14/2013,1,1413.22,1/13/2015,3375
Single Family,12/2/2013,1,1000522.84,1/13/2015,2500
Duplex,10/14/2013,1,1568.64,1/15/2015,4000
Duplex,10/8/2012,1,3702.81,1/15/2015,12623.4
Single Family,12/2/2013,1,2983.37,1/15/2015,3000
Single Family,6/2/2014,1,728.7,1/15/2015,11250
Multi-Family,12/17/2012,1,4479.49,1/16/2015,5000
Single Family,11/14/2011,1,9611.07,1/20/2015,3125
Single Family,6/2/2014,1,162.63,1/20/2015,16125
Single Family,7/14/2014,1,1315.52,1/21/2015,16500
Duplex,7/14/2014,1,2265.13,1/22/2015,5500
