Key No.,Property Type ,Acquired,Total Mgt. Expenses,Closed,Sale Price
2460190000,Single Family,2013-12-02,"$1.383,39",2014-10-31,"$1,00"
2460220000,Single Family,2012-10-08,"$48,366,00",2014-02-17,"$2,584,00"
2470516000,Single Family,2013-10-14,"$120,43",2014-07-24,"$1,000,00"
2470533000,Single Family,2013-12-02,"$99,90",2014-07-24,"$1,000,00"
2470941000,Single Family,2013-12-02,"$266,94",2014-08-13,"$1,000,00"
2480306000,Single Family,2013-10-14,"$2.010,54",2014-08-29,"$5,000,00"
2480358000,Single Family,2012-12-17,"$1.150,71",2014-04-28,"$6,500,00"
2480501000,Single Family,2013-12-02,"$2.203,75",2014-12-05,"$12,000,00"
2480633000,Single Family,2013-08-16,"$245,68",2014-04-16,"$1,00"
2490087000,Single Family,2013-08-16,"$268,46",2014-04-16,"$1,00"
2500415000,Single Family,2013-12-02,"$652,55",2014-11-24,"$26,000,00"
2650207000,Single Family,2013-10-14,"$419,91",2014-09-05,"$33,000,00"
2650270000,Single Family,2011-09-16,"$3.074,75",2014-02-13,"$11,000,00"
2660011000,Single Family,2010-07-26,"$5.819,38",2014-10-30,"$27,000,00"
2660358000,Single Family,2012-10-08,"$1.687,81",2014-11-04,"$1,00"
2670638000,Single Family,2013-10-14,"$1.870,42",2014-07-14,"$15,750,00"
2680533000,Single Family,2012-07-09,"$834,06",2014-02-13,"$5,000,00"
2681319000,Single Family,2013-10-14,"$226,47",2014-08-13,"$1,000,00"
2690110000,Multi-Family,2012-07-09,"$5.865,22",2014-12-16,"$41,002,00"
2700518000,Single Family,2013-10-14,"$4,505,00",2014-10-24,"$5,000,00"
2700826000,Duplex,2013-12-02,"$618,66",2014-08-22,"$11,000,00"
2701514000,Single Family,2013-12-02,"$1.745,38",2014-10-09,"$7,600,00"
2701801000,Single Family,2013-12-02,"$350,28",2014-08-14,"$11,000,00"
2701823000,Duplex,2012-12-17,"$167,768,00",2014-01-03,"$8,900,00"
2701906000,Single Family,2013-10-14,"$1.640,32",2014-07-02,"$7,000,00"
2701933000,Single Family,2011-11-14,"$78,164,00",2014-04-25,"$5,000,00"
2701940000,Duplex,2011-09-16,"$5.317,94",2014-08-11,"$1,000,00"
2710215100,Duplex,2013-08-16,"$203,65",2014-04-02,"$13,500,00"
2710409110,Church,2013-10-14,"$1.206,44",2014-11-13,"$10,000,00"
