"Key No.","Property Type","Acquired","Total Mgt. Expenses","Closed","Sale Price "
2440461000,"Single Family","2015-09-14",1434.37,"2016-12-20",21100
2440628000,"Duplex","2015-09-14",190.55,"2016-10-18",5000
2440651000,"Single Family","2015-11-16",1290.1,"2016-05-04",1
2441209000,"Single Family","2015-11-16",789.3,"2016-11-22",21000
2449956000,"Duplex","2015-07-13",3225.5,"2016-11-23",15000
2450001000,"Duplex","2015-09-14",63.73,"2016-05-19",4500
2450403000,"Single Family","2015-06-08",547.55,"2016-01-13",5000
2450507000,"Single Family","2016-01-04",1717.24,"2016-11-23",5000
2451108000,"Duplex","2015-06-08",2063.87,"2016-09-13",25000
2451117000,"Single Family","2015-09-14",1013.9,"2016-06-02",5000
2451518000,"Single Family","2015-11-16",966.7,"2016-07-28",1000
2451716000,"Duplex","2016-06-13",2032.58,"2016-11-15",16500
2459994000,"Duplex","2015-09-14",1232.78,"2016-05-19",3750
2460104000,"Single Family","2015-07-13",1614.27,"2016-03-03",5000
2470317000,"Single Family","2013-08-16",1396.8,"2016-06-29",7125
2470558000,"Single Family","2015-07-13",1859.12,"2016-02-16",1000
2470603000,"Single Family","2016-01-04",799.96,"2016-08-11",11000
2470701000,"Single Family","2016-01-04",661.72,"2016-08-23",5550
2470951000,"Single Family","2014-09-15",2884.86,"2016-06-02",5000
2470963000,"Single Family","2014-11-11",7317.81,"2016-09-01",5000
2479781000,"Single Family","2016-01-04",870.34,"2016-09-15",7725
2479796000,"Single Family","2015-07-13",1339,"2016-05-17",20000
2479876000,"Single Family","2015-06-08",797.34,"2016-09-01",5000
2479887000,"Single Family","2015-07-13",1023.84,"2016-06-24",5000
2480076000,"Single Family","2015-11-16",690.77,"2016-06-15",5000
2480078000,"Single Family","2015-06-08",341.97,"2016-01-13",5000
2480400000,"Single Family","2015-06-08",340.34,"2016-02-11",15000
2490733000,"Single Family","2016-01-04",447.52,"2016-09-29",18750
2540682000,"Restaurant","2013-12-02",4115.28,"2016-04-14",60000
2640837000,"Single Family","2013-08-16",8088.93,"2016-05-04",18500
2660372000,"Duplex","2016-01-04",823.87,"2016-08-16",65000
2670499000,"Church","2011-11-14",3100.33,"2016-07-08",7500
2670776000,"Single Family","2015-09-14",3016.72,"2016-03-22",7500
2680707000,"Single Family","2015-11-16",387.71,"2016-03-10",15917
2681233000,"Single Family","2015-11-16",527.59,"2016-07-28",5000
2681613000,"Single Family","2015-06-08",221.6,"2016-03-08",1000
2690017000,"Single Family","2016-01-04",205.75,"2016-08-23",6007
2690135000,"Single Family","2014-09-15",203.29,"2016-10-25",1
2690212000,"Single Family","2012-12-17",1833.26,"2016-10-25",1
2690412000,"Single Family","2012-12-17",3521.48,"2016-02-25",1
2700148000,"Duplex","2014-06-02",17976.46,"2016-08-18",20000
2700505000,"Duplex","2016-01-04",3832.78,"2016-09-13",5000
2700975000,"Duplex","2015-07-13",1959.57,"2016-10-05",3000
2701114110,"Single Family","2014-11-11",3631.62,"2016-06-21",5000
2701119000,"Multi-Family","2015-07-13",1630.74,"2016-03-03",4500
2701160000,"Single Family","2013-10-14",535.49,"2016-02-03",2500
2701173000,"Single Family","2015-11-16",3116.85,"2016-11-16",4580
2701616000,"Duplex","2015-06-08",3540.82,"2016-03-03",9450
2701735000,"Single Family","2015-11-16",1501.69,"2016-06-02",11300
2701869000,"Single Family","2015-07-13",847.53,"2016-07-13",5000
2701884000,"Single Family","2015-09-14",2951.72,"2016-08-16",3001
2702017000,"Single Family","2016-01-04",1754.9,"2016-10-11",3600
2710477000,"Duplex","2016-01-04",3804.21,"2016-09-29",7350
2710613000,"Duplex","2016-06-13",1707.58,"2016-12-08",9375
2710638000,"Single Family","2015-06-08",1106.7,"2016-08-23",2600
2710643000,"Duplex","2015-07-13",155.65,"2016-06-30",2500
2710902000,"Single Family","2015-06-08",508.88,"2016-05-17",3000
2710908000,"Duplex","2015-11-16",1835.27,"2016-06-16",3000
2711339000,"Duplex","2014-07-14",3462.18,"2016-01-12",3840
2711345000,"Duplex","2014-06-02",1013.45,"2016-06-23",2500
2712306000,"Single Family","2015-06-08",535.68,"2016-06-16",2500
2712514000,"Duplex","2015-11-16",1619.47,"2016-05-26",5100
2712601000,"Single Family","2015-06-08",3343.25,"2016-06-08",8750
2720011000,"Duplex","2016-01-04",2198.89,"2016-08-30",17500
2720056000,"Duplex","2015-01-05",4103.72,"2016-06-29",2500
2720333000,"Single Family","2015-06-08",7482.16,"2016-11-09",6800
2720823100,"Single Family","2015-06-08",11450.83,"2016-04-22",4000
2720824000,"Duplex","2012-10-08",4451.98,"2016-07-28",5000
2721719000,"Single Family","2013-10-14",1492.71,"2016-04-26",1000
2722107000,"Duplex","2015-11-16",743.98,"2016-07-07",2800
2722210000,"Tavern","2009-07-20",313.87,"2016-04-29",7500
2722320100,"Single Family - 2","2015-06-08",2970.51,"2016-12-14",5000
2722426000,"Single Family","2015-07-13",1895.23,"2016-03-03",3000
2722704000,"Duplex","2015-01-05",1659.49,"2016-11-09",1000
2722706000,"Single Family","2015-07-13",1496.42,"2016-09-08",3000
2722742000,"Single Family","2015-07-13",1077.1,"2016-02-23",6278
2722765000,"Single Family","2015-07-13",317.16,"2016-12-21",2500
2730625000,"Single Family","2015-07-13",312.93,"2016-03-16",2500
2730634100,"Duplex","2015-06-08",2960.8,"2016-02-02",5600
2730908000,"Duplex","2015-07-13",1460.33,"2016-02-16",3000
2731114000,"Duplex","2014-11-11",688.72,"2016-12-07",2500
2731702000,"Single Family","2014-09-15",943.42,"2016-08-24",1
2731918000,"Single Family","2016-06-13",955.54,"2016-11-22",8500
2810616000,"Duplex","2015-09-14",2336.22,"2016-05-05",5600
2811110000,"Duplex","2015-07-13",6606.54,"2016-11-02",1
2811516100,"Duplex","2016-01-04",224.09,"2016-09-27",2500
2812403100,"Single Family","2012-07-09",13871.47,"2016-12-21",3750
2820012000,"Single Family","2014-09-15",2477.06,"2016-08-24",1
2820211000,"Single Family","2015-06-08",5631.02,"2016-06-07",9000
2820309000,"Duplex","2013-08-16",10821.11,"2016-08-24",1
2820356000,"Single Family - 2","2016-01-04",1501.73,"2016-09-20",7500
2820369000,"Duplex","2014-07-14",1222.75,"2016-08-24",1
2820911000,"Duplex","2011-09-16",1839.84,"2016-06-14",1000
2822418000,"Duplex & Single Family","2015-06-08",4337.2,"2016-05-03",5100
2822424000,"Single Family","2015-06-08",1103.99,"2016-02-04",1000
2829965000,"Duplex","2015-07-13",461.48,"2016-10-20",2700
2830126000,"Single Family","2016-06-13",1975.51,"2016-12-14",3400
2830184100,"Single Family","2012-12-17",2116.82,"2016-01-13",5000
2830238100,"Duplex","2015-07-13",1721.45,"2016-10-27",7800
2830476000,"Duplex","2015-01-05",436.66,"2016-05-17",2900
2830653000,"Duplex","2015-07-13",3102.21,"2016-03-08",3000
2830668000,"Single Family","2015-06-08",1672.16,"2016-08-16",3500
2831284000,"Single Family","2015-09-14",1383.56,"2016-07-20",6000
2840228000,"Duplex","2016-01-04",2862.79,"2016-09-20",3750
2840735000,"Duplex","2015-07-13",985.67,"2016-01-07",3920
2841028000,"Single Family","2013-12-02",485.21,"2016-12-14",3000
2841050000,"Duplex","2015-09-14",1357.75,"2016-04-20",2500
2841518000,"Single Family","2015-09-14",740.1,"2016-03-10",3900
2841706000,"Single Family","2014-07-07",4828.03,"2016-01-13",5000
2850130000,"Single Family","2015-06-08",190.18,"2016-01-12",3525
2850327000,"Duplex","2015-07-13",3728.68,"2016-11-22",3800
2850445000,"Single Family","2013-12-02",2677.3,"2016-05-04",5850
